stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
107011,Clearbrook Rd at Tims Ave,49.0535,-122.33801,0,107011
120023,Clearbrook Rd at Old Yale Rd,49.05145,-122.33786,0,120023
107277,Peardonville Rd at Grant St,49.04584,-122.34466,0,107277
107278,Peardonville Rd at Holly St,49.04575,-122.33856,0,107278
107310,Peardonville Rd at Clearbrook Rd,49.0457,-122.33541,0,107310
107311,Peardonville Rd at Parkview St,49.04563,-122.33289,0,107311
107312,Peardonville Rd at Adelaide St,49.04552,-122.32854,0,107312
107313,Peardonville Rd at Bevan Cres,49.04546,-122.3247,0,107313
107314,Peardonville Rd at Broadway St,49.04544,-122.32098,0,107314
107315,Peardonville Rd at Emerson St,49.04544,-122.31742,0,107315
107136,Marshall Rd at Dahl Cres,49.03841,-122.27875,0,107136
107331,Old Yale Rd at Delair Rd,49.03903,-122.23967,0,107331
107334,Old Yale Rd at Winfield Dr E,49.04082,-122.22766,0,107334
107335,Old Yale Rd at Walterleaf Pl,49.0419,-122.22522,0,107335
107160,G Ferguson Way at Mountview St,49.05051,-122.29502,0,107160
107161,G Ferguson Way at Babich St,49.05162,-122.29884,0,107161
107162,G Ferguson Way at Fuller St,49.05223,-122.301,0,107162
107163,G Ferguson Way at Ware St,49.05328,-122.30502,0,107163
107164,G Ferguson Way at Trafalgar St,49.05428,-122.30861,0,107164
107165,Bourquin Cres W at Amicus Pl,49.05317,-122.31041,0,107165
107166,Bourquin Cres W at Ventura Ave,49.05188,-122.31029,0,107166
107127,G Ferguson Way at Babich St,49.0516,-122.29909,0,107127
107128,G Ferguson Way at Mountview St,49.05067,-122.29584,0,107128
107129,G Ferguson Way at McCallum Rd,49.05006,-122.29261,0,107129
107053,Old Clayburn Rd at Sandy Hill Rd,49.07118,-122.24939,0,107053
107054,Old Clayburn Rd at Skeena Ave,49.06739,-122.24944,0,107054
107055,Old Clayburn Rd at Monashee St,49.06382,-122.25033,0,107055
107058,Vernon Terr at Old Clayburn Rd,49.06135,-122.25869,0,107058
107059,Mt Blanchard Dr at Vernon Terr,49.06321,-122.25821,0,107059
107060,Mt Blanchard Dr at Mt Blanchard Crt,49.06401,-122.25382,0,107060
107061,McKee Dr at Old Clayburn Rd,49.06269,-122.25086,0,107061
107062,McKee Dr at McKee Rd,49.06183,-122.24934,0,107062
107063,McKee Rd at Wells Gray Ave,49.06051,-122.24929,0,107063
107064,McKee Rd at Cassiar Ave,49.05819,-122.25117,0,107064
107065,McKee Rd at McCrae St,49.05668,-122.25307,0,107065
107066,McKee Rd at Glenalmond Pl,49.05596,-122.25527,0,107066
107067,McKee Rd at Gleneagles Pl,49.05559,-122.25813,0,107067
107068,McMillan Rd at Sandon Dr,49.05103,-122.26042,0,107068
107069,McMillan Rd at Old Yale Rd,49.04919,-122.26034,0,107069
107070,Old Yale Rd at McAdam Rd,49.0489,-122.26405,0,107070
107071,Old Yale Rd at Guilford Rd,49.04789,-122.26714,0,107071
107072,Old Yale Rd at Grosvenor Pl,49.04627,-122.27317,0,107072
107073,Old Yale Rd at Hyatt Pl,49.04641,-122.27508,0,107073
107074,Old Yale Rd at Alderview St,49.04681,-122.27978,0,107074
107075,Old Yale Rd at Campbell Ave,49.04708,-122.28224,0,107075
107076,Old Yale Rd at Willow Lane,49.04821,-122.28406,0,107076
107077,Essendene Ave at Cyril St,49.04902,-122.28682,0,107077
107078,Essendene Ave at W Railway St,49.04903,-122.28868,0,107078
107092,32100 Blk Old Yale Rd,49.05189,-122.33324,0,107092
107093,Old Yale Rd at Clearbrook Rd East Side,49.05199,-122.33584,0,107093
107094,Clearbrook Rd at G Ferguson Way,49.05411,-122.33786,0,107094
107095,Clearbrook Rd at Coral Ave,49.05581,-122.33785,0,107095
107096,Clearbrook Rd at Charlotte Ave,49.05831,-122.33784,0,107096
107097,Clearbrook Rd at Austin Ave,49.06184,-122.33792,0,107097
107098,Blueridge Dr at Saturna Cres,49.06463,-122.33963,0,107098
120041,Blueridge Dr at Thornhill Pl,49.06705,-122.34456,0,120041
107099,Ridgeview Dr at Blueridge Dr,49.06683,-122.34879,0,107099
107100,Ridgeview Dr at Viewmount Pl,49.06527,-122.35158,0,107100
107101,Ponderosa St at Ridgeview Dr,49.06499,-122.35444,0,107101
107102,Ponderosa St at Spur Ave,49.06273,-122.35443,0,107102
120037,Upper Maclure Rd at Ponderosa St,49.06038,-122.35477,0,120037
107001,Townline Rd at Upper Maclure Rd,49.06067,-122.35995,0,107001
120044,Townline Rd at Ridgeview Dr,49.06523,-122.35987,0,120044
105722,Blueridge Dr at Townline Rd,49.06774,-122.36094,0,105722
120033,Blueridge Dr at Blue Jay St,49.06601,-122.37144,0,120033
120034,Blueridge Dr at Crestview Ave,49.06581,-122.37772,0,120034
120035,Mt Lehman Rd at Cardinal Ave,49.0615,-122.38129,0,120035
120046,Highstreet Mall Access at Cardinal Ave,49.05906,-122.37751,0,120046
120002,Highstreet Mall,49.05903,-122.38056,0,120002
107107,Mt Lehman Rd at Cardinal Ave,49.06179,-122.38112,0,107107
107110,Blueridge Dr at Goldfinch St,49.06581,-122.37551,0,107110
105721,Blueridge Dr at Townline Rd,49.06762,-122.36092,0,105721
105731,Townline Rd at Blueridge Dr,49.06716,-122.35989,0,105731
120012,Townline Rd at Upper Maclure Rd,49.06067,-122.36007,0,120012
120042,Upper Maclure Rd at Townline Rd,49.06035,-122.35931,0,120042
120045,Upper Maclure Rd at Ponderosa St,49.06031,-122.3548,0,120045
120038,Ponderosa St at Spur Ave,49.06252,-122.35433,0,120038
120039,Ponderosa St at Ridgeview Dr,49.06518,-122.35435,0,120039
